Ticker,Date Bought,Quantity,Price Bought,Sell Price,Profit,Sell Date,Date,Type,Price,Total,Balance After
AAPL,,50.0,,,,,2025-04-09 21:25:05,BUY,198.85,9942.5,70962.49967956543
AAPL,,100.0,,,,,2025-04-09 21:27:18,SHORT,198.85,19885.0,51077.49967956543
AAPL,,75.0,,,,,2025-04-09 21:27:51,SHORT,198.85,14913.75,36163.74967956543
AAPL,,75.0,,,,,2025-04-09 21:29:42,BUY,198.85,14913.75,21249.99967956543
AAPL,,50.0,,,,,2025-04-09 21:36:05,SELL,198.8500061035156,9942.50030517578,31192.49998474121
SYSTEM,,0.0,,,,,2025-04-09 21:36:17,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-09 21:36:29,BUY,198.85,19885.0,80115.0
AAPL,,75.0,,,,,2025-04-09 21:36:33,BUY,198.85,14913.75,65201.25
AAPL,,50.0,,,,,2025-04-09 21:36:36,SHORT,198.85,9942.5,55258.75
AAPL,,25.0,,,,,2025-04-09 21:36:39,SHORT,198.85,4971.25,50287.5
AAPL,,100.0,,,,,2025-04-09 21:36:45,SELL,198.8500061035156,19885.00061035156,70172.50061035156
SYSTEM,,0.0,,,,,2025-04-09 21:43:12,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-09 21:43:22,BUY,198.85,19885.0,80115.0
AAPL,,75.0,,,,,2025-04-09 21:43:26,BUY,198.85,14913.75,65201.25
AAPL,,50.0,,,,,2025-04-09 21:43:30,BUY,198.85,9942.5,55258.75
AAPL,,100.0,,,,,2025-04-09 21:43:33,SELL,198.8500061035156,19885.00061035156,75143.75061035156
SYSTEM,,0.0,,,,,2025-04-09 21:51:10,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-09 21:51:21,BUY,198.85,19885.0,80115.0
AAPL,,75.0,,,,,2025-04-09 21:51:25,BUY,198.85,14913.75,65201.25
AAPL,,50.0,,,,,2025-04-09 21:51:30,BUY,198.85,9942.5,55258.75
AAPL,,100.0,,,,,2025-04-09 21:51:37,SELL,198.8500061035156,19885.00061035156,75143.75061035156
AAPL,,100.0,,,,,2025-04-09 21:51:37,BUY,198.85,19885.0,55258.75061035156
AAPL,,50.0,,,,,2025-04-09 21:51:38,BUY,198.85,9942.5,45316.25061035156
AAPL,,30.0,,,,,2025-04-09 21:51:56,SHORT,198.85,5965.5,39350.75061035156
AAPL,,20.0,,,,,2025-04-09 21:51:59,SHORT,198.85,3977.0,35373.75061035156
AAPL,,100.0,,,,,2025-04-09 21:52:03,SELL,198.8500061035156,19885.00061035156,55258.751220703125
AAPL,,100.0,,,,,2025-04-09 21:52:03,BUY,198.85,19885.0,35373.751220703125
AAPL,,50.0,,,,,2025-04-09 21:52:03,BUY,198.85,9942.5,25431.251220703125
AAPL,,30.0,,,,,2025-04-09 21:52:03,SHORT,198.85,5965.5,19465.751220703125
AAPL,,100.0,,,,,2025-04-09 21:52:13,SELL,198.8500061035156,19885.00061035156,39350.75183105469
AAPL,,100.0,,,,,2025-04-09 21:52:13,BUY,198.85,19885.0,19465.751831054688
AAPL,,50.0,,,,,2025-04-09 21:52:14,BUY,198.85,9942.5,9523.251831054688
SYSTEM,,0.0,,,,,2025-04-09 22:02:07,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-09 22:02:19,SHORT,198.85,19885.0,80115.0
AAPL,,50.0,,,,,2025-04-09 22:02:25,SHORT,198.85,9942.5,70172.5
AAPL,,100.0,,,,,2025-04-09 22:02:36,COVER,198.8500061035156,19885.00061035156,90057.50061035156
AAPL,,100.0,,,,,2025-04-09 22:02:36,SHORT,198.85,19885.0,70172.50061035156
AAPL,,100.0,,,,,2025-04-09 22:02:49,COVER,198.8500061035156,19885.00061035156,90057.50122070312
SYSTEM,,0.0,,,,,2025-04-09 22:03:01,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-09 22:03:11,SHORT,198.85,19885.0,80115.0
AAPL,,100.0,,,,,2025-04-09 22:03:17,COVER,198.8500061035156,19885.00061035156,100000.00061035156
AAPL,,100.0,,,,,2025-04-09 22:04:03,SHORT,198.85,19885.0,80115.00061035156
AAPL,,25.0,,,,,2025-04-09 22:04:06,SHORT,198.85,4971.25,75143.75061035156
AAPL,,100.0,,,,,2025-04-09 22:04:11,COVER,198.8500061035156,19885.00061035156,95028.75122070312
AAPL,,100.0,,,,,2025-04-09 22:04:11,SHORT,198.85,19885.0,75143.75122070312
AAPL,,100.0,,,,,2025-04-09 22:04:19,COVER,198.8500061035156,19885.00061035156,95028.75183105467
AAPL,,75.0,,,,,2025-04-09 22:04:41,SHORT,198.85,14913.75,80115.00183105469
AAPL,,25.0,,,,,2025-04-09 22:04:44,SHORT,198.85,4971.25,75143.75183105469
AAPL,,75.0,,,,,2025-04-09 22:04:50,COVER,198.8500061035156,14913.750457763672,90057.50228881836
AAPL,,25.0,,,,,2025-04-09 22:04:50,SHORT,198.85,4971.25,85086.25228881836
AAPL,,25.0,,,,,2025-04-09 22:04:54,COVER,198.8500061035156,4971.250152587891,90057.50244140625
SYSTEM,,0.0,,,,,2025-04-09 22:15:43,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-09 22:15:55,SHORT,198.85,19885.0,119885.0
AAPL,,50.0,,,,,2025-04-09 22:16:00,SHORT,198.85,9942.5,129827.5
AAPL,,100.0,,,,,2025-04-09 22:16:05,COVER,198.8500061035156,19885.00061035156,109942.49938964844
AAPL,,50.0,,,,,2025-04-09 22:16:05,SHORT,198.85,9942.5,119884.99938964844
AAPL,,50.0,,,,,2025-04-09 22:16:16,COVER,198.8500061035156,9942.50030517578,109942.49908447266
SYSTEM,,0.0,,,,,2025-04-09 22:17:04,RESET,0.0,0.0,100000.0
AAPL,,50.0,,,,,2025-04-09 22:17:14,BUY,198.85,9942.5,90057.5
AAPL,,100.0,,,,,2025-04-09 22:17:17,BUY,198.85,19885.0,70172.5
AAPL,,50.0,,,,,2025-04-09 22:17:21,SELL,198.8500061035156,9942.50030517578,80115.00030517578
AAPL,,100.0,,,,,2025-04-09 22:17:21,BUY,198.85,19885.0,60230.00030517578
AAPL,,100.0,,,,,2025-04-09 22:17:26,SELL,198.8500061035156,19885.00061035156,80115.00091552734
SYSTEM,,0.0,,,,,2025-04-10 09:54:00,RESET,0.0,0.0,100000.0
AAPL,,100.0,,,,,2025-04-10 09:54:12,SHORT,190.76,19076.0,80924.0
